5;28.35;30.41;101174.47;-14.56;31.53;0.14;-0.01;1.08;-6.38;-2.69;1.34
6457;28.35;30.41;101172.61;-14.41;32.53;0.14;-0.01;1.08;-6.44;-3.11;1.02
6567;28.35;30.41;101171.27;-14.29;31.53;0.14;0;1.07;-6.55;-2.53;2.11
6679;28.35;30.42;101175.07;-14.61;32.53;0.14;0;1.07;-6.67;-2.46;1.91
6790;28.35;30.42;101172.36;-14.38;32.53;0.14;0;1.07;-6.02;-3.05;1.36
6901;28.35;30.41;101171.75;-14.34;32.53;0.14;0;1.07;-6.72;-2.69;1.79
7012;28.35;30.41;101168.56;-14.07;32.53;0.15;0;1.07;-6.14;-3.02;1.66
7123;28.35;30.41;101169.32;-14.13;32.53;0.14;0;1.07;-6.2;-2.79;1.1
7234;28.35;30.41;101171.75;-14.34;32.53;0.14;0;1.08;-6.14;-2.81;1.71
7346;28.35;30.43;101172.61;-14.41;32.53;0.14;0;1.07;-6.11;-2.61;1.59
7456;28.35;30.42;101174.7;-14.58;32.53;0.13;0;1.08;-6.15;-3.44;1.76
7568;28.35;30.42;101173.88;-14.51;32.53;0.13;0;1.07;-5.65;-2.47;1.54
7678;28.35;30.42;101171.35;-14.3;32.53;0.13;-0.01;1.07;-6.17;-3.24;1.56
7790;28.35;30.42;101172.7;-14.42;32.53;0.14;0;1.08;-6.46;-2.79;1.3
7901;28.35;30.42;101171.35;-14.3;32.53;0.15;0;1.08;-6.49;-2.41;1.59
8012;28.35;30.43;101173.46;-14.48;32.53;0.14;-0.01;1.08;-5.89;-2.49;1.45
8123;28.35;30.43;101170.25;-14.49;32.53;0.13;-0.01;1.08;-6.21;-2.37;1.33
8235;28.35;30.42;101171.15;-14.28;32.53;0.14;0;1.07;-6.27;-2.81;1.74
8345;28.35;30.43;101172.44;-14.4;32.53;0.15;-0.01;1.07;-6.41;-2.37;1.76
8457;28.35;30.43;101170.41;-14.23;32.53;0.14;0;1.08;-6.32;-2.92;1.05
8567;28.35;30.43;101171.07;-14.28;32.53;0.14;0;1.07;-6.34;-2.84;0.99
8679;28.35;30.44;101169.32;-14.13;32.53;0.14;0;1.07;-5.77;-2.76;1.76
8790;28.35;30.42;101169.12;-14.12;32.53;0.14;0;1.08;-6.14;-2.64;1.68
8901;28.35;30.42;101170.47;-14.23;32.53;0.15;0;1.08;-6.7;-2.52;1.13
9012;28.35;30.42;101167.94;-14.02;32.53;0.14;0;1.08;-6.31;-2.7;1.42
9123;28.35;30.44;101168.8;-14.09;32.53;0.14;0;1.08;-6.4;-3.31;1.89
9234;28.35;30.43;101169.14;-14.12;32.53;0.14;0;1.08;-6.69;-2.37;2.05
9346;28.35;30.44;101172.02;-14.36;32.53;0.14;-0.01;1.07;-6.17;-2.75;1.18
9456;28.35;30.44;101172.16;-14.37;32.53;0.14;0;1.07;-6.17;-2.7;1.33
9568;28.35;30.44;101170.5;-14.23;32.53;0.14;0;1.07;-6.14;-2.63;0.96
9678;28.35;30.44;101171.32;-14.3;32.53;0.14;0;1.08;-6.56;-2.93;1.33
9790;28.35;30.43;101169.74;-14.17;32.53;0.14;0;1.08;-5.86;-3.94;1.66
9902;28.35;30.46;101176.07;-14.7;32.53;0.08;-0.03;1.13;-16.73;-10.34;-64.63
10016;28.35;30.44;101171.99;-14.35;32.53;0.09;-0.09;1.06;-28.18;4.49;-0.31
10129;28.35;30.44;101171.17;-14.29;32.53;0.15;0.07;1.25;-69.47;103.91;42.93
10243;28.35;30.44;101171.82;-14.34;32.53;0.04;-0.21;1.78;46.4;-19.88;65.08
10356;28.35;30.44;101169.96;-14.18;32.53;-0.23;-0.14;1.5;32.06;-11.07;152.58
10472;28.35;30.45;101171.53;-14.32;32.53;-0.25;0.27;1.18;148.15;9.28;181.57
10586;28.35;30.45;101167.71;-14;32.53;0.05;0.33;0.95;219.4;-3.92;199.22
10699;28.35;30.45;101166.69;-13.92;32.53;-0.08;0.18;0.72;73.85;-14.47;205.42
10814;28.35;30.46;101164.91;-13.77;32.53;0.06;0.3;0.66;87.89;92.4;228.35
10927;28.35;30.45;101163.08;-13.61;32.53;0.13;0.49;1.26;89.18;154.41;224.52
11040;28.35;30.45;101161.96;-13.52;32.53;0.54;0.51;1.44;65.21;56.4;157.8
11153;28.35;30.45;101160.88;-13.43;32.53;0.44;0.38;1.22;-16.32;94.64;91.63
11266;28.35;30.45;101161.96;-13.52;32.53;0;-0.02;0.89;64.64;-6.24;92.99
11379;28.35;30.45;101159.86;-13.05;32.53;0;0.27;0.78;-86.93;-47.51;34.14
11493;28.35;30.45;101154.69;-12.92;32.53;0.23;0.15;0.53;6.17;18.37;-0.58
11603;28.35;30.44;101154.24;-12.88;32.53;0.25;0.36;0.49;-34.7;31.62;-37.24
11717;27.86;30.45;101151.82;-12.67;32.53;0.11;0.4;0.49;-11.16;-34.02;0.64
11830;28.35;30.44;101151.19;-12.62;32.53;0.25;0.46;0.82;-13.94;9.22;18.18
11941;28.35;30.44;101150.35;-12.55;32.53;0.24;0.36;0.81;-14.02;-23.18;5.05
12054;28.35;30.44;101150.38;-12.56;32.53;0.32;0.41;0.72;1.59;-4.84;9.16
12166;28.35;30.45;101153.5;-12.77;32.53;0.2;0.37;0.99;3.88;-0.79;17.11
12277;28.35;30.45;101150.63;-12.58;32.53;0.31;0.4;0.97;-10;-2.49;22.72
12390;28.35;30.45;101148.42;-12.39;32.53;0.26;0.35;1.13;13.63;-3.11;10.27
12502;28.35;30.45;101149.96;-12.52;32.53;0.28;0.41;0.99;21.66;-6.82;26.05
12613;28.35;30.46;101149.19;-12.46;32.53;0.11;0.41;1;44.32;19.3;37.57
12725;28.35;30.46;101151.89;-12.68;32.53;0.16;0.42;1;-34.41;-45.76;49.71
12838;28.35;30.45;101150.74;-12.58;32.53;0.33;0.35;0.99;9.47;1.02;61.1
12950;28.35;30.46;101151.72;-12.67;32.53;0.33;0.36;0.9;-4.76;-3.42;50.15
13062;28.35;30.46;101149.36;-12.61;32.53;0.31;0.33;0.96;-3.77;-4.73;60.78
13173;27.86;30.47;101150.46;-12.56;32.53;0.4;0.23;0.81;56.44;79.57;57.39
13285;28.35;30.46;101150.49;-12.56;32.53;0.34;0.2;0.99;20.9;32.05;66.85
13396;28.35;30.46;101149.86;-12.51;32.53;0.31;0.2;0.97;16.75;61.36;72.84
13508;27.86;30.47;101152.92;-12.77;32.53;0.22;0.17;0.95;-38.69;36.24;47.6
13621;27.86;30.48;101154.79;-12.92;32.53;0.24;0.08;0.98;-6.9;55.15;45.98
13732;27.86;30.48;101152.42;-12.73;32.53;0.15;0.16;0.97;-28.03;47.62;30.84
13845;28.35;30.47;101155.8;-13.01;32.53;0.18;0.12;1.11;3.76;27.91;46.14
13957;28.35;30.48;101156.32;-12.74;32.53;0.14;0.1;1.04;-58.76;-16.79;50.21
14070;28.35;30.48;101155.47;-12.98;32.53;0.11;0.05;0.98;-15.24;-18.63;50.67
14184;28.35;30.48;101156.14;-13.04;32.53;0.13;0.17;1.11;-42.81;-33.34;1.57
14297;28.35;30.49;101157.07;-13.11;32.53;0.1;0.25;1.25;-36.35;17.24;24.14
14409;28.35;30.49;101157.24;-13.13;32.53;0.22;0.22;1.26;-109.79;-12.49;74.53
14524;28.35;30.49;101159.94;-13.35;32.53;0.25;0.09;1.23;25.71;76.12;20.03
14636;28.35;30.49;101159.78;-13.7;32.53;-0.03;0.12;1.27;-24.08;23.47;47.33
14749;28.35;30.48;101161.05;-13.44;32.53;-0.04;0.07;1.05;-55.71;-14.89;73.59
14864;28.35;30.49;101160.96;-13.44;32.53;0.03;0.04;1.09;-2.89;10.85;63.34
14976;28.35;30.48;101162.07;-13.53;32.53;0.14;-0.05;1.15;18.9;7.82;38.05
15087;27.86;30.49;101162.36;-13.55;32.53;-0.05;-0.03;1.08;13.3;10.81;9.51
15200;28.35;30.49;101163.27;-13.63;32.53;0.01;0.03;1.11;-5.02;12.23;35.4
15311;28.35;30.49;101162.59;-13.57;32.53;-0.08;0.12;1.08;-21.56;-4.26;35.76
15426;28.35;30.5;101165.32;-13.8;32.53;-0.07;0.09;1.11;-19.07;16.43;33.6
15540;28.35;30.5;101161.66;-13.5;32.53;-0.02;0.02;1.14;-12.09;36.15;50.17
15653;28.35;30.51;101164.55;-13.73;32.53;-0.03;0.08;0.93;-20.72;23.71;61.85
15767;27.86;30.5;101164.3;-13.71;32.53;-0.04;0.06;1.04;-72.15;5.82;65.45
15880;28.35;30.5;101161.25;-13.46;32.53;-0.13;0.15;1.32;-73.63;21.24;64.47
15993;28.35;30.51;101163.42;-13.64;32.53;-0.3;-0.01;2;-3.71;7.48;114
16107;28.35;30.51;101162.41;-13.56;32.53;-0.29;-0.22;1.92;168.12;-156.78;131.34
16225;28.35;30.5;101159.23;-13.29;32.53;-0.32;-0.23;0.85;239.82;-101.21;161.6
16343;27.86;30.5;101160.75;-13.42;32.53;0.16;-0.06;0.25;139.88;-146.61;87.71
16458;27.86;30.5;101154.72;-12.92;32.53;0.17;0.27;0.15;56.85;-36.5;101.86
16572;28.35;30.49;101153.69;-12.83;32.53;0.11;0.42;0.02;3.5;78.73;159.21
16685;28.35;30.5;101157.1;-13.12;32.53;0.26;0.3;0.62;-67.39;133.77;164.63
16799;28.35;30.49;101156.1;-13.03;32.53;0.14;0.13;0.85;40.82;175.33;207.01
16913;27.86;30.49;101154.88;-12.93;32.53;0.29;-0.01;1.01;-61.5;177.11;172.4
17029;28.35;30.49;101154.98;-12.94;32.53;0.03;-0.09;1.41;-216.85;55.51;189.44
17144;28.35;30.49;101158.82;-13.26;32.53;0.05;-0.17;1.92;-145.45;180.6;126.24
17261;27.86;30.49;101162.99;-13.61;32.53;0.01;-0.07;1.82;-157.18;53.31;153.95
17377;27.86;30.5;101165.71;-13.83;32.53;-0.22;-0.14;2.43;-12.17;-24.89;174.92
17494;27.86;30.49;101161.17;-13.45;32.53;-0.03;-0.52;2.98;211.02;-238.26;148.41
17611;27.86;30.51;101161.91;-13.52;32.53;-0.08;-0.47;0.75;190.14;-182.92;89.47
17729;27.86;30.51;101161.07;-13.44;32.53;-0.03;-0.08;-0.05;209.05;-72.4;92.08
17846;27.86;30.49;101154.47;-12.89;32.53;0.1;0.17;0.06;134.06;51.57;101.53
17959;27.86;30.49;101153.69;-12.83;32.53;0.33;0.33;0.1;31.01;117.76;175.68
18073;27.86;30.49;101155.07;-12.95;32.53;0.26;0.19;0.54;-7.6;179.13;175.68
18187;27.86;30.49;101156.06;-13.03;32.53;0.15;0.09;0.84;-149.02;51.76;234.38
18301;27.86;30.5;101159.07;-13.28;32.53;0.09;-0.03;1.19;-98.85;160.09;141.05
18417;27.86;30.49;101159.27;-13.3;32.53;-0.12;-0.21;1.44;-194.03;61.33;148.15
18534;27.86;30.5;101161.32;-13.47;32.53;-0.01;-0.21;2.18;-178.92;63.07;176.4
18651;27.86;30.49;101161.69;-13.5;32.53;-0.04;-0.46;2.61;65.59;-40.72;174.44
18767;27.86;30.49;101159.21;-13.29;32.53;-0.19;-0.55;1.62;326.84;-161.36;180.34
18885;27.86;30.5;101157.71;-13.16;32.53;-0.17;-0.3;0.48;300.02;-46.09;173.66
19002;27.86;30.49;101155.32;-13;32.53;0.2;-0.09;0.11;204.35;-14.63;168.84
19118;27.86;30.49;101154.64;-12.91;32.53;0.42;0.17;0.05;72.93;94.31;159.73
19230;27.86;30.5;101153.71;-12.83;32.53;0.34;0.18;0.44;-53.68;73.48;155.66
19344;27.86;30.51;101158.35;-13.22;32.53;0.34;0.2;0.89;-78.56;61.04;132.29
19458;27.86;30.49;101157.85;-13.18;32.53;0.2;0.13;1.06;-133.01;22.2;115.88
19572;27.86;30.5;101160.41;-13.41;32.53;0.31;0.05;1.35;-62.38;10.41;68.9
19685;27.86;30.5;101162.44;-13.56;32.53;0.37;0.13;1.34;-44.79;46.02;37.19
19798;27.86;30.5;101161.32;-13.47;32.53;0.44;0.15;1.26;-42.93;49.98;-40.89
19912;27.86;30.5;101160.75;-13.42;32.53;0.2;0.17;1.22;-8.02;45.54;-52.95
20025;27.86;30.5;101161.42;-13.48;32.53;0.14;0.17;1.15;19.08;10.69;-50.73
20137;27.86;30.51;101162.41;-13.56;32.53;0.11;0.19;1.06;16.44;-5.59;-30.78
20250;27.86;30.51;101162.75;-13.59;32.53;0.14;0.15;1.09;9.66;-21.59;-24.31
20363;27.86;30.52;101162.19;-13.54;32.53;0.18;0.11;1.04;-1.16;-10.15;-35.33
20476;27.86;30.5;101158.38;-13.22;32.53;0.25;0.08;1.02;3.91;-13.86;-71.34
20589;27.86;30.51;101162.86;-13.6;32.53;0.2;0.06;1.02;-13.69;11.3;-102.66
20704;27.86;30.51;101162.02;-13.52;32.53;0.13;0.1;1.08;-15.47;-7.04;-113.69
20818;27.86;30.52;101163.34;-13.63;32.53;0.09;0.07;1.02;-10.63;-2.21;-129.79
20933;27.86;30.51;101163.03;-13.52;32.53;-0.01;0.19;1.03;-4.15;5.02;-129.24
21047;27.86;30.52;101164.02;-13.69;32.53;0.02;0.17;0.96;-16.82;-20.47;-113.8
21163;27.86;30.51;101161.5;-13.48;32.53;-0.14;0.12;1.01;-3.63;8.72;-113.6
21276;27.86;30.52;101167.85;-14.01;32.53;-0.06;0.12;1.12;-35.71;-21.62;-94.6
21393;27.86;30.52;101165.37;-13.8;32.53;-0.13;0.13;1.08;-23.73;-10.11;-64.64
21509;27.86;30.53;101171.82;-14.34;32.53;-0.07;0.09;1.14;-17.74;-19.19;-32.56
21624;27.86;30.53;101165.89;-13.85;32.53;-0.06;0.08;1;15.94;-5.51;-4.95
21737;27.86;30.52;101169.03;-14.11;32.53;-0.01;0.16;1.21;-64.53;-43.68;66
21852;27.86;30.53;101169.96;-14.18;32.53;0.07;0.02;1.16;-6.9;-30.78;38.46
21964;27.86;30.54;101170.88;-14.26;32.53;0.01;-0.01;1.19;-28.56;-18.99;15.24
22079;27.86;30.54;101171.11;-14.09;32.53;0.09;0;1.24;-34.09;-7.8;11.59
22193;27.86;30.54;101170.6;-14.24;32.53;0.05;-0.02;1.19;-0.67;-23.05;16.9
22306;27.86;30.55;101171.67;-14.33;32.53;0.08;-0.05;1.07;25.77;0.26;20
22418;27.86;30.54;101167.16;-13.95;32.53;0.04;-0.06;1.08;62.06;-13.69;17.95
22532;27.86;30.55;101170.14;-14.2;32.53;0.12;0.06;1.06;-27.8;-2.99;-5.85
22645;27.86;30.54;101168.17;-14.04;32.53;-0.07;0.02;1.25;8.81;-12.29;1.24
22757;27.86;30.54;101167.67;-13.99;32.53;0.35;-0.15;1.17;3.45;33.6;106.17
22870;27.86;30.55;101170.49;-14.23;32.53;0.21;-0.04;1.1;39.33;155.11;34.92
22983;27.86;30.54;101170.03;-14.19;32.53;0;-0.01;1.02;-4.56;-8.49;5.45
23095;27.86;30.55;101165.72;-13.83;32.53;0.04;-0.01;1.08;-10.24;3.01;3.11
23206;27.86;30.56;101169.38;-14.14;32.53;0.05;0;1.08;-7.89;-2.23;2
23318;27.86;30.55;101168.25;-14.05;32.53;0.05;-0.01;1.08;-5.85;-2.81;0.95
23430;27.86;30.55;101168.6;-14.07;32.53;0.05;-0.01;1.07;-5.62;-2.82;1.33
23541;27.86;30.55;101167.75;-14;32.53;0.05;-0.02;1.08;-6.23;-2.9;1.04
23653;27.86;30.55;101168.77;-14.29;32.53;0.05;-0.01;1.08;-7.1;-2.23;1.57
23764;27.86;30.56;101169.72;-14.17;32.53;0.05;-0.01;1.08;-6.95;-2.21;1.1
23876;27.86;30.56;101171.72;-14.33;32.53;0.05;-0.01;1.09;-7.36;-1.8;1.63
23988;27.86;30.55;101169.44;-14.14;32.53;0.04;-0.01;1;;;
